audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box11,019,154154,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box12,021,154155,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box13,022,154321,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box14,038,154321,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box04,039,154042,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/box01,004,154040,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box15,044,154320,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/box05,046,154117,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box06,048,154118,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box16,052,154320,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box09,007,154155,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-27_11-43-34_Wistar_Urgency_group1/pi-data_2024-09-27_11-43-34_Wistar_Urgency_group1/Box09,001,114735,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-27_11-43-34_Wistar_Urgency_group1/pi-data_2024-09-27_11-43-34_Wistar_Urgency_group1/Box10,013,114802,M,Control,Wistar
